Ticker,Segmento,DY_Anual,P_VP,Liquidez_Diaria,Vacancia,Patrimonio,Perfil_Risco,Perfil_Ideal_Investidor,Liquidez_Patrimonio,Desconto_VP,DY_por_Vacancia,Indice_Valor,Log_Patrimonio,Log_Liquidez,Score_Risco
BLMC11,Títulos e Val. Mob.,0.0,0.91,0.0,0.0,34257100.0,Médio,Moderado,0.0,0.0899999999999999,0.0,0.0,17.349404429650086,0.0,36.0
BLMG11,Multicategoria,0.1447,0.66,317055.0,0.0,145097000.0,Médio,Moderado,0.0021851244339993,0.3399999999999999,14.47,0.2192424242424242,18.79291304913634,12.666833693408975,50.0
BLMO11,Escritórios,0.0735,0.88,368331.0,0.0771999999999999,86260300.0,Médio,Moderado,0.0042699944238543,0.12,0.8428899082568808,0.0835227272727272,18.272880038628383,12.816739984349828,55.58
BLMR11,Títulos e Val. Mob.,0.0,0.84,0.0,0.0,173172000.0,Médio,Moderado,0.0,0.16,0.0,0.0,18.969795883980822,0.0,44.0
BLOG11,Multicategoria,0.0194,0.59,101.0,0.128,205414000.0,Alto,Arrojado,4.916899529730204e-07,0.41,0.1405797101449275,0.0328813559322033,19.140538017692595,4.624972813284271,79.2
BLUR11,Títulos e Val. Mob.,0.0,0.99,0.0,0.0,6842700.0,Médio,Moderado,0.0,0.01,0.0,0.0,15.73869309469388,0.0,36.0
BMLC11,Outros,0.0823,0.93,94725.0,0.0,102227000.0,Baixo,Conservador,0.000926614299549,0.0699999999999999,8.23,0.0884946236559139,18.442706398491488,11.458743792706244,26.0
BNFS11,Varejo,0.2269999999999999,0.58,52332.0,0.0148,28168000.0,Alto,Arrojado,0.0018578528827037,0.42,9.15322580645161,0.3913793103448276,17.153697175318303,10.8653824262153,68.22
BPFF11,Outros,0.0513,0.78,0.0,0.0,244922000.0,Médio,Moderado,0.0,0.2199999999999999,5.13,0.0657692307692307,19.316450354555357,0.0,42.0
BPML11,Multicategoria,0.1238,0.72,1375300.0,0.0823,664176000.0,Médio,Moderado,0.0020706860832068,0.28,1.3412784398699893,0.1719444444444444,20.31405773406504,14.134183174216618,47.34
BPRP11,Outros,0.0,0.86,0.0,0.0,145107000.0,Médio,Moderado,0.0,0.14,0.0,0.0,18.792981966173564,0.0,52.0
BRCO11,Logística,0.093,1.0,7672210.0,0.1261999999999999,2091190000.0,Baixo,Conservador,0.0036688249274336,0.0,0.6828193832599121,0.093,21.460999119357613,15.853115397774104,25.93
BRCR11,Multicategoria,0.1104,0.52,2160560.0,0.0293,1176080000.0,Médio,Moderado,0.0018370859125229,0.48,2.8091603053435112,0.2123076923076922,20.885452712170267,14.585878468160592,37.39
BREV11,Híbrido,0.0,0.0,0.0,0.0,101556000.0,Médio,Moderado,0.0,1.0,0.0,0.0,18.436120938287026,0.0,56.0
BRIM11,Residencial,0.0,60.15,10285.0,0.0,11793000.0,Alto,Arrojado,0.0008721275332824,-59.15,0.0,0.0,16.28301677786817,9.23853902633486,65.0
BRIP11,Residencial,0.0,0.77,2275.0,0.0,78648400.0,Médio,Moderado,2.892620828904339e-05,0.2299999999999999,0.0,0.0,18.18049785668338,7.730174795246222,55.0
BRLA11,Logística,0.0533,0.89,0.0,0.0,724795000.0,Baixo,Conservador,0.0,0.1099999999999999,5.33,0.0598876404494382,20.4013994155942,0.0,27.0
BROF11,Multicategoria,0.1162,0.5,1149580.0,0.7264,637085000.0,Alto,Arrojado,0.0018044373984633,0.5,0.1577946768060836,0.2324,20.27241364419461,13.95490808612255,67.0
BTAL11,Logística,0.0807,0.75,640816.0,0.0,522353000.0,Baixo,Conservador,0.0012267872492356,0.25,8.07,0.1076,20.07385416442129,13.370499203722716,19.0
BTCI11,Outros,0.124,0.91,3100910.0,0.0,920571000.0,Baixo,Conservador,0.0033684637035057,0.0899999999999999,12.4,0.1362637362637362,20.64050468874265,14.947206497251502,29.0
BTCR11,Títulos e Val. Mob.,0.0,0.92,0.0,0.0,423289000.0,Médio,Moderado,0.0,0.0799999999999999,0.0,0.0,19.86356572121782,0.0,36.0
BTHF11,Outros,0.1231,0.92,3059390.0,0.0,1908200000.0,Baixo,Conservador,0.0016032858190965,0.0799999999999999,12.31,0.1338043478260869,21.369426226806077,14.93372643451369,25.0
BTHI11,Hotel,0.1072,0.68,30750.0,0.0,407735000.0,Médio,Moderado,7.541663089997179e-05,0.3199999999999999,10.72,0.1576470588235294,19.82612801399421,10.333677793031091,50.0
BTLG11,Multicategoria,0.0914,1.0,13836600.0,0.0506,5489370000.0,Baixo,Conservador,0.0025206171199973,0.0,1.5082508250825084,0.0914,22.426079331966903,16.442827885505476,22.59
BTML11,Shoppings,0.1009,0.86,0.0,0.0969999999999999,126206000.0,Médio,Moderado,0.0,0.14,0.9429906542056076,0.1173255813953488,18.6534260584464,0.0,44.55
BTRA11,Outros,0.0615,0.53,239682.0,0.0576,201874000.0,Médio,Moderado,0.0011872851382545,0.47,0.9097633136094676,0.1160377358490566,19.12315430332214,12.387072495921576,60.64
BTSG11,Logística,0.0615,0.94,0.0,0.0,113865000.0,Baixo,Conservador,0.0,0.06,6.15,0.0654255319148936,18.550524102883447,0.0,24.0
BTSI11,Outros,0.0868999999999999,0.89,9326.0,0.0,701136000.0,Baixo,Conservador,1.3301271080075762e-05,0.1099999999999999,8.69,0.0976404494382022,20.36821243616709,9.140668698726865,29.0
BTWR11,Escritórios,0.0892999999999999,0.77,9705.0,0.08,74161500.0,Médio,Moderado,0.0001308630488865,0.2299999999999999,0.992222222222222,0.1159740259740259,18.12175571903862,9.18049952996516,48.0
BTYU11,Outros,0.1567,0.74,7979.0,0.0,228000000.0,Médio,Moderado,3.499561403508772e-05,0.26,15.67,0.2117567567567567,19.24485619130468,8.984693690443855,52.0
BVAR11,Varejo,0.1138,1.79,0.0,0.3324,788737000.0,Alto,Arrojado,0.0,-0.79,0.3323598130841121,0.0635754189944134,20.48594349117676,0.0,73.0
CACR11,Multicategoria,0.5107,0.27,3339090.0,0.0,123810000.0,Médio,Moderado,0.0269694693481948,0.73,51.07,1.891481481481481,18.634258698473765,15.02120917222318,60.0
CARE11,Multicategoria,0.0,0.09,15909.0,0.0,23332000.0,Médio,Moderado,0.000681853248757,0.91,0.0,0.0,16.965336409715256,9.674703121331833,60.0
CBOP11,Escritórios,0.0575,0.45,9597.0,0.2319999999999999,46383700.0,Alto,Arrojado,0.0002069045807039,0.55,0.2376033057851239,0.1277777777777778,17.652458683934455,9.169310022418191,84.0
CCME11,Multicategoria,0.114,0.83,389114.0,0.2263,599326000.0,Médio,Moderado,0.0006492526604886,0.17,0.482437579348286,0.1373493975903614,20.21131625010384,12.87163020873075,57.0
CCRF11,Títulos e Val. Mob.,0.0,0.95,0.0,0.0,145401000.0,Médio,Moderado,0.0,0.05,0.0,0.0,18.795006007496667,0.0,36.0
CCVA11,Hospital,0.0702,0.98,0.0,0.0311,62816300.0,Baixo,Conservador,0.0,0.02,1.708029197080292,0.0716326530612244,17.95572516781964,0.0,30.66
CEOC11,Escritórios,0.1336999999999999,0.61,29514.0,0.0,75133500.0,Médio,Moderado,0.0003928207790133,0.39,13.369999999999996,0.2191803278688524,18.13477710248764,10.29265388767479,54.0
CFHI11,Multicategoria,0.349,0.76,0.0,0.0,1901460.0,Médio,Moderado,0.0,0.24,34.9,0.4592105263157894,14.45813309601653,0.0,50.0
CFII11,Multicategoria,0.2051,1.23,103.0,0.0,77686200.0,Médio,Moderado,1.32584680419431e-06,-0.2299999999999999,20.51,0.1667479674796748,18.168188206258723,4.6443908991413725,50.0
CJCT11,Escritórios,0.0448,0.89,21353.0,0.27,207209000.0,Alto,Arrojado,0.0001030505431713,0.1099999999999999,0.16,0.0503370786516854,19.149238508525755,9.968994354738248,84.0
CLIN11,Outros,0.1275,0.93,3222310.0,0.0,398859000.0,Baixo,Conservador,0.0080788198335752,0.0699999999999999,12.75,0.1370967741935483,19.804118531447997,14.985609361959124,34.0
CNES11,Escritórios,0.0663,0.22,36024.0,0.5463,48471500.0,Alto,Arrojado,0.0007431996121432,0.78,0.1191802984001438,0.3013636363636364,17.696486574950903,10.491968420867725,84.0
COPP11,Outros,0.0,0.94,0.0,0.18,290462000.0,Alto,Arrojado,0.0,0.06,0.0,0.0,19.486983320192707,0.0,71.0
CORM11,Outros,0.0,0.85,0.0,0.0,87581800.0,Médio,Moderado,0.0,0.15,0.0,0.0,18.28808378318181,0.0,52.0
CPFF11,Títulos e Val. Mob.,0.0,1.12,0.0,0.0,75470800.0,Médio,Moderado,0.0,-0.1200000000000001,0.0,0.0,18.139256397693533,0.0,44.0
CPLG11,Logística,0.1202999999999999,1.07,3167730.0,0.0,489853000.0,Baixo,Conservador,0.0064666951105739,-0.07,12.03,0.112429906542056,20.009615906101374,14.968526116695095,24.0
CPOF11,Outros,0.0445,0.87,3391560.0,0.9998,542718000.0,Alto,Arrojado,0.0062492122980995,0.13,0.0440681323034264,0.0511494252873563,20.11210040782204,15.036800845348347,77.0
CPSH11,Shoppings,0.13,0.86,4632970.0,0.0,1236560000.0,Baixo,Conservador,0.0037466600892799,0.14,13.0,0.1511627906976744,20.93559916861703,15.34870890493607,29.0
CPTR11,Outros,0.047,0.82,241560.0,0.0,159787000.0,Médio,Moderado,0.0015117625338732,0.18,4.7,0.0573170731707317,18.88935224255594,12.394877308171507,52.0
CPTS11,Outros,0.1382,0.86,10615800.0,0.0,2769890000.0,Baixo,Conservador,0.0038325709685222,0.14,13.82,0.1606976744186046,21.74207344552684,16.177854109528358,33.0
CPUR11,Multicategoria,0.1012,1.07,8138240.0,0.0062,710814000.0,Baixo,Conservador,0.0114491836120279,-0.07,6.246913580246914,0.0945794392523364,20.381921351574693,15.912084621261094,19.93
CRAA11,Títulos e Val. Mob.,0.0329,0.99,626594.0,0.0,238311000.0,Médio,Moderado,0.0026293121173592,0.01,3.29,0.0332323232323232,19.289087105501952,13.348055677896095,36.0
CRFF11,Multicategoria,0.1036,0.89,434120.0,0.0,53029600.0,Baixo,Conservador,0.0081863713850377,0.1099999999999999,10.36,0.1164044943820224,17.786360825042014,12.981078576067848,32.0
CTXT11,Escritórios,0.0,0.29,243.0,1.0,27678400.0,Alto,Arrojado,8.779409214405458e-06,0.71,0.0,0.0,17.136162919704105,5.497168225293202,94.0
CVBI11,Outros,0.1435,0.89,3128870.0,0.0,911427000.0,Médio,Moderado,0.0034329353859387,0.1099999999999999,14.349999999999998,0.1612359550561797,20.63052206220556,14.956182794572008,37.0
CXAG11,Varejo,0.1208,0.68,214811.0,0.0,156608000.0,Médio,Moderado,0.0013716476808336,0.3199999999999999,12.08,0.1776470588235294,18.86925643216985,12.277518505978191,56.0
CXCE11,Escritórios,0.1377,0.64,23660.0,0.0,68620800.0,Médio,Moderado,0.0003447934154075,0.36,13.769999999999998,0.21515625,18.044106268308088,10.0715834020661,54.0
CXCI11,Multicategoria,0.1339,0.8,86195.0,0.0,142004000.0,Médio,Moderado,0.0006069899439452,0.1999999999999999,13.390000000000002,0.167375,18.77136579122493,11.364379051862802,40.0
CXCO11,Multicategoria,0.134,0.7,176760.0,0.0,263373000.0,Médio,Moderado,0.0006711394106457,0.3,13.4,0.1914285714285714,19.389081840121523,12.082553816617224,40.0
CXRI11,Multicategoria,0.1206,0.73,134665.0,0.0,100392000.0,Médio,Moderado,0.0013413917443621,0.27,12.06,0.1652054794520547,18.42459309073324,11.810552917767874,40.0
CXTL11,Logística,0.0187999999999999,0.79,3031.0,0.0,17363800.0,Médio,Moderado,0.0001745585643695,0.2099999999999999,1.88,0.0237974683544303,16.669898194842975,8.016977746762262,42.0
CYLD11,Logística,0.1182,0.87,1964.0,0.0,163241000.0,Baixo,Conservador,1.2031291158471218e-05,0.13,11.82,0.1358620689655172,18.91073820055855,7.583247524303362,24.0
